Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-05-04,1.0829760764798626,1.1156657406465,1.0826762594706387,1.1141668558120728,448176400,0.0,0.0
2005-05-05,1.1171663368462197,1.117765971299653,1.0937734856420798,1.1000715494155884,387366000,0.0,0.0
2005-05-06,1.1063692100991378,1.1195650662038032,1.1033704385603509,1.116866111755371,326247600,0.0,0.0
2005-05-09,1.1180663177144194,1.1231644106009335,1.1021707029469328,1.1087685823440552,355695200,0.0,0.0
2005-05-10,1.1021708639670502,1.1171662286165,1.0895746375344217,1.0922735929489136,440263600,0.0,0.0
2005-05-11,1.0556847166292833,1.0697807275677231,0.993003311447053,1.0679811239242554,2041981200,0.0,0.0
2005-05-12,1.062282644285244,1.0673807373442115,1.0196955932289102,1.023594617843628,970242000,0.0,0.0
2005-05-13,1.0256939597651442,1.0565841378257221,1.0217950351759733,1.0427887439727783,702713200,0.0,0.0
2005-05-16,1.0364909959618052,1.0706805780556976,1.035590843349801,1.066182017326355,474294800,0.0,0.0
2005-05-17,1.0538852180522258,1.063482671315328,1.035890280988381,1.0604830980300903,588344400,0.0,0.0
2005-05-18,1.063182174653348,1.1264640285161236,1.049386778762314,1.0748790502548218,636722800,0.0,0.0
2005-05-19,1.073079287854122,1.130062168837193,1.073079287854122,1.1261632442474365,793161600,0.0,0.0
2005-05-20,1.1171661263869832,1.1291628174323873,1.1153666227301724,1.1261632442474365,452650800,0.0,0.0
2005-05-23,1.1351610184807412,1.1966423504632797,1.1351610184807412,1.192443609237671,1042574400,0.0,0.0
2005-05-24,1.1831469329099191,1.1993414648557326,1.1705507075572061,1.1906442642211914,593460000,0.0,0.0
2005-05-25,1.1846459863345247,1.1981423647153957,1.179248075659976,1.1930434703826904,396006800,0.0,0.0
2005-05-26,1.1978426536463311,1.2278333822377685,1.1978426536463311,1.2218351364135742,525520800,0.0,0.0
2005-05-27,1.2188361864538482,1.2233347450347836,1.199941799947994,1.2164361476898193,316008000,0.0,0.0
2005-05-31,1.2194356601249952,1.22183489792282,1.1870448987425444,1.192443609237671,404205200,0.0,0.0
2005-06-01,1.1963429732782898,1.2224347793340995,1.1954427207792302,1.20863938331604,453812800,0.0,0.0
2005-06-02,1.2011412440651226,1.2092390117502756,1.1876456653312732,1.2008414268493652,373973600,0.0,0.0
2005-06-03,1.144457885477485,1.1570541095203273,1.1327619137041296,1.1468570232391357,956869200,0.0,0.0
2005-06-06,1.1495570652198852,1.1585540835475123,1.1264639340160432,1.1372605562210083,811966400,0.0,0.0
2005-06-07,1.1276631948662903,1.131562120023172,1.093173804258933,1.0958727598190308,745264800,0.0,0.0
2005-06-08,1.0985712733974693,1.1171658394238135,1.096771770202892,1.1072685718536377,404006400,0.0,0.0
2005-06-09,1.10966910098751,1.1378603291126252,1.1042703888042114,1.1291630268096924,390255600,0.0,0.0
2005-06-10,1.121664640140463,1.121664640140463,1.0652813957687832,1.0739794969558716,678932800,0.0,0.0
2005-06-13,1.0763788164811305,1.097972162395444,1.0742794953844057,1.0766786336898804,435772400,0.0,0.0
2005-06-14,1.0772786998191635,1.0841765011438853,1.0721806034826986,1.079677939414978,347846800,0.0,0.0
2005-06-15,1.1057700648794901,1.118666008322916,1.088675279212307,1.1135671138763428,563343200,0.0,0.0
2005-06-16,1.1153672574055844,1.142059509746653,1.1042708124038951,1.1390607357025146,547674400,0.0,0.0
2005-06-17,1.1537557141126493,1.1558550349039498,1.1345607084491383,1.148956537246704,596125600,0.0,0.0
2005-06-20,1.1351611424977124,1.1423586564657449,1.1231644516685073,1.1279628276824951,323716400,0.0,0.0
2005-06-21,1.131262112284624,1.1453581225860545,1.1210650261384096,1.1354608535766602,370526800,0.0,0.0
2005-06-22,1.1474578069275478,1.1576540954589138,1.1438586987682213,1.1561551094055176,424925200,0.0,0.0
2005-06-23,1.1645525487626913,1.193043593564347,1.1591538366834764,1.1663521528244019,674254000,0.0,0.0
2005-06-24,1.172349159481106,1.173249411651545,1.130061933516712,1.1324610710144043,410709600,0.0,0.0
2005-06-27,1.104869493667938,1.14265816182579,1.1000711185429393,1.112667441368103,600171600,0.0,0.0
2005-06-28,1.1243645563318767,1.1273632286034505,1.1147670031566181,1.118965744972229,350299600,0.0,0.0
2005-06-29,1.1165667437442104,1.1183663477512458,1.0832765222089331,1.090774655342102,448358400,0.0,0.0
